Date,Company,Industry,Subvertical,City,Investors,Round,Amount,Year,Quarter
3/14/2016,PinkBlue,ECommerce,Medical Supplies eTailer,Bengaluru,Dr V Ravinder,Seed Funding,1.92,2016,1
8/29/2016,Loan Tap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,Dr. Abhishek Pandey,Private Equity,25.8,2016,3
11/21/2017,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,Dr. Aniruddha Malpani,Seed/Angel Funding,2.15,2017,4
4/13/2016,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,1.29,2016,2
12/7/2015,Leaf Wearables,Smart Safety Wearable Devices,Not unknown,New Delhi,Dr. Aniruddha Malpani,Seed Funding,2.15,2015,4
10/20/2015,PrimaSeller,Order Fulfillment SAAS platform,Not unknown,Bengaluru,Dr. Aniruddha Malpani,Seed Funding,0,2015,4
12/21/2016,Supr Daily,Consumer Internet,Daily Subscription based Delivery service,Mumbai,Dr. Apoorv Ranjan Sharma,Seed Funding,0,2016,4
1/8/2016,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Bengaluru,Dr. Apoorv Ranjan Sharma,Seed Funding,2.15,2016,1
8/23/2016,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,0,2016,3
11/24/2016,FroyoFit,Consumer Internet,Fitness Discovery Platform,Indore,Dr. Pooja Gandhi,Seed Funding,0,2016,4
11/21/2015,Healers At Home,"Home Healthcare Services platform,",Not unknown,New Delhi,Dr. Pramath Raj Sinha,Seed Funding,0,2015,4
9/10/2016,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,New Delhi,Dr. Prasad Kaipa,Seed Funding,0,2016,3
9/10/2016,CureInstant,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding,1.29,2016,3
1/22/2018,AEON Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,27.52,2018,1
4/12/2016,MagicX,Consumer Internet,On-Demand Task Management App,Bengaluru,Dr. Ranjan Pai,Seed Funding,8.6,2016,2
5/18/2017,PumpKart,eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,0,2017,2
1/5/2016,MyChild App,Education,Child Disorder Information & Education,Bhopal,Dr. Ritesh Malik,Seed Funding,0.86,2016,1
4/13/2016,Hippily,eCommerce,Fashion ECommerce App,Mumbai,Dr. Sridhar Ramaswamy,Seed Funding,2.15,2016,2
4/13/2015,ZopNow,Online Grocer,Not unknown,Bengaluru,Dragoneer Investment,Private Equity,86,2015,2
3/7/2017,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bengaluru,Draper Associates,Private Equity,31.39,2017,1
8/25/2015,RevX,Cross-channel CRM platform,Not unknown,Mumbai,Draper Fisher Jurvetson,Private Equity,34.4,2015,3
8/29/2015,iamwire,Digital Media publishing platform,Not unknown,Gurugram,Draphant Consultants,Seed Funding,0,2015,3
11/12/2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,11.18,2019,4
8/22/2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,Dream Incubator,Private Equity,122.72,2018,3
1/2/2017,99Games,Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,0,2017,1
8/4/2017,Box My Space,Logistics,Warehouse Aggregator,Mumbai,Dreamweaver Investments,Seed Funding,0,2017,3
10/23/2017,Raw Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,DSG Consumer Partners,Private Equity,51.6,2017,4
9/18/2017,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurugram,DSG Consumer Partners,Private Equity,8.6,2017,3
8/3/2017,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bengaluru,DSG Consumer Partners,Private Equity,0,2017,3
6/21/2017,Mswipe,Technology,Point-of-Sale services,Mumbai,DSG Consumer Partners,Private Equity,266.6,2017,2
12/1/2016,IndiaLends,Consumer Internet,Online Instant personal Loan provider,New Delhi,DSG Consumer Partners,Private Equity,34.4,2016,4
10/15/2016,Tazzo Bikes,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding,1.95,2016,4
11/30/2015,Superhero Brands,character merchandize sales platform,Not unknown,Mumbai,DSG Consumer Partners,Seed Funding,4.64,2015,4
10/5/2015,IndiaLends,Online Consumer Lending platform,Not unknown,New Delhi,DSG consumer Partners,Private Equity,8.6,2015,4
8/25/2015,EazyDiner,Restaurant Reservation Platform,Not unknown,Gurugram,DSG Consumer Partners,Private Equity,25.8,2015,3
7/7/2015,IndiaLends,Financial Tech,Not unknown,New Delhi,DSG Consumer Partners,Private Equity,0,2015,3
6/1/2015,Veeba Foods,Healthy Food Manufacturer,Not unknown,New Delhi,DSG Consumer Partners,Private Equity,51.6,2015,2
4/11/2016,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,DSG Consumer Partners,Private Equity,860,2016,2
10/2/2019,Udaan,B2B,Business development,Bengaluru,DST Global,Series D,5031,2019,4
5/10/2016,Swiggy,Consumer Internet,Food Delivery Platform,Bengaluru,DST Global,Private Equity,60.2,2016,2
11/18/2015,Ola,Car Aggregator & Retail Mobile App,Not unknown,Bengaluru,DST Global,Private Equity,4300,2015,4
4/8/2015,Ola,Cab Aggregator,Not unknown,Bengaluru,DST Global,Private Equity,3440,2015,2
11/6/2018,Meesho,Ecommerce,Social Commerce,Bengaluru,DST Global,Series C,430,2018,4
4/6/2016,Shipsy,Logistics,Logistics Solutions,Gurugram,DTDC Express Ltd,Private Equity,8.6,2016,2
7/11/2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,19.35,2017,3
2/3/2016,Mazkara,Consumer Internet,Beauty & Wellness Platform,Pune,Dunamis Ventures Pte Ltd.,Seed Funding,8.6,2016,1
1/4/2019,Samunnati,Finance,Non-banking financial company,Chennai,Dutch government fund,Debt-Funding,43,2019,1
5/2/2017,SMECorner,Consumer Internet,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,0,2017,2
11/3/2015,Bidgely,Efficient Energy Management platform,Not unknown,India,E.ON,Private Equity,142.76,2015,4
3/31/2017,Icertis,Technology,ERP solutions provider,Pune,e.ventures,Private Equity,215,2017,1
2/23/2016,CupoNation,Consumer Internet,Deals and Discount platform,Gurugram,e.ventures,Private Equity,94.6,2016,1
5/23/2017,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,0,2017,2
2/8/2017,Wandertrails,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bengaluru,Earlsfield Capital,Seed Funding,8.6,2017,1
9/7/2016,Prozo,eCommerce,Study Material Marketplace,Gurugram,Earlsfield Capital,Seed Funding,2.71,2016,3
11/26/2015,Stelae,Content Management Software Solutions,Not unknown,Chennai,Earlsfield Capital,Private Equity,0,2015,4
1/24/2017,BetaOut,Technology,ECommerce Marketing Software,Noida,East Ventures & Others,Private Equity,0,2017,1
3/21/2017,Flipkart,eCommerce,ECommerce Marketplace,Bengaluru,eBay,Private Equity,12040,2017,1
12/20/2017,Your Quote,Technology,Vernacular and Video Content Platform,Bengaluru,E-City VEntures Atul Goel,Private Equity,8.6,2017,4
9/14/2017,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,378.4,2017,3
10/19/2015,Citrus Payment,Payments Solution platform,Not unknown,Mumbai,eContext Asia,Private Equity,215,2015,4
2/8/2019,Zilingo,Ecommerce,Fashion & Apparel,India,EDBI,Series D,1943.6,2019,1
9/28/2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,EDBI,Private Equity,438.6,2016,3
8/22/2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,Edelweiss and Beenext,Private Equity,122.72,2018,3
2/9/2016,GOQii,Technology,Personalized fitness coaching & Fitness band,Mumbai,Edelweiss Financial Services,Private Equity,0,2016,1
9/12/2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bengaluru,Edelweiss Private Equity,Private Equity,146.2,2017,3
12/7/2016,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,77.4,2016,4
6/1/2016,BRIDGEi2I,Technology,Data Analytics Platform,Bengaluru,Edelweiss Private Equity,Private Equity,0,2016,2
6/10/2016,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private Equity,0,2016,2
12/7/2017,Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,86,2017,4
2/29/2016,Hopscotch,eCommerce,Baby & Kids Products Online Flash sales platform,Mumbai,Eduardo Saverin,Private Equity,111.8,2016,1
4/9/2018,Elemential,Technology,Blockchain Platform,Mumbai,Eight Innovate,Seed / Angel Funding,0,2018,2
9/12/2015,CredR,Used Vehicles Marketplace,Not unknown,Mumbai,Eight Roads Ventures,Private Equity,129,2015,3
4/16/2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads Ventures,Series A,387,2019,2
1/29/2018,eKincare,Healthcare,Technology,Hyderabad,Eight Roads Ventures,Private Equity,12.9,2018,1
12/6/2017,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,Eight Roads Ventures,Private Equity,516,2017,4
6/19/2017,Unbxd,Technology,Cloud-based product discovery platform,Bengaluru,Eight Roads Ventures,Private Equity,107.5,2017,2
4/6/2017,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bengaluru,Eight Roads Ventures,Private Equity,180.6,2017,2
3/2/2017,Celes Care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,Eight Roads Ventures,Private Equity,12.9,2017,1
12/26/2016,Shadowfax,Logistics,On-Demand Delivery Service,Gurugram,Eight Roads Ventures,Private Equity,86,2016,4
9/14/2015,Shadowfax,Hyperlocal Delivery Services,Not unknown,Gurugram,Eight Roads Ventures,Private Equity,77.4,2015,3
9/16/2015,Chai Point,Food Subscription platform,Not unknown,Bengaluru,Eight Roads Ventures,Private Equity,86,2015,3
1/4/2018,Early Salary,Finance,Online Lending,Pune,Eight Roads Ventures,Private,135.02,2018,1
12/26/2017,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures,Private Equity,86,2017,4
8/3/2017,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bengaluru,Eight Roads Ventures,Private Equity,0,2017,3
1/15/2018,Pi Ventures,Finance,Venture Capital,Bengaluru,Electronic Development Fund,Private Equity,215,2018,1
4/4/2018,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,Elevar Equity,Private Equity,473,2018,2
10/1/2015,Indifi,Easy Business Loans platform,Not unknown,Gurugram,Elevar Equity,Seed Funding,0,2015,4
9/3/2015,Vistaar Finance,Small Business Financing (NBFC),Not unknown,Bengaluru,Elevar Equity,Private Equity,344,2015,3
6/26/2015,CreditMantri,Credit Management Services,Not unknown,Chennai,Elevar Equity,Private Equity,21.5,2015,2
1/10/2018,Samunnati,Finance,Agricultural Loan,Chennai,Elevar Equity,Private Equity,202.1,2018,1
10/7/2016,KOOH Sports,Technology,Sports Training & Technology,Mumbai,Elevate Sports,Private Equity,18.92,2016,4
12/21/2015,KOOH Sports,Sports Education Platform,Not unknown,Mumbai,Elevate Sports,Private Equity,17.2,2015,4
7/30/2015,Noodle Play,Chinese food delivery,Not unknown,Mumbai,Elliot Stechman,Seed Funding,1.44,2015,3
12/15/2016,Amagi Media Labs,Technology,Media Technology Solutions,Mumbai,Emerald Media,Private Equity,301,2016,4
10/11/2016,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Bengaluru,Emerald Media,Private Equity,430,2016,4
4/12/2017,SquadRun,Technology,Software-As-a-Service Platform,Noida,Emergent Ventures,Private Equity,18.06,2017,2
3/8/2017,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,Emergent Ventures,Seed Funding,9.46,2017,1
8/13/2018,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,Emergent Ventures,Private Equity,68.8,2018,3
